服务器输出文件名	config_items.xml	根名称	ability																															
客户端输出文件名	config_items.xml	项名称	items																															
道具类型id	道具名	颜色	描述	主类型	要求等级	出售货币类型	出售货币数量	排序权重(大的排前面)	有效时间	标记	分组大小	使用目标	使用类型	有效参数数量	作用类型0	作用值0	作用类型1	作用值1	作用类型2	作用值2	作用类型3	作用值3	作用类型4	作用值4	作用类型5	作用值5	作用类型6	作用值6	作用类型7	作用值7	作用类型8	作用值8	图标名称	
222000030	[ce5dd4]天音之力[-]	ce5dd4	[410303]挑飞敌人进摔落进行打击照成伤害击退对方[-]	2	0	11	99	20	0	2	99	3	1	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	
222000031	[ce5dd4]幻魔琴-真理[-]	ce5dd4	[410303]对前方进行范围琴音伤害[-]	2	0	11	99	20	0	1	99	3	1	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	
222000032	[ce5dd4]续命天音[-]	ce5dd4	[410303]琴音追踪目标照成伤害回旋回来回复自身生命[-]	2	0	11	99	20	0	3	99	3	1	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	
222000033	[ce5dd4]回旋腿[-]	ce5dd4	[410303]倒地后原地翻身起立[-]	2	0	11	99	20	0	2	99	3	1	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	
222000034	[ce5dd4]杀戮风暴[-]	ce5dd4	[410303]持续用风暴攻击使目标浮空[-]	2	0	11	99	20	0	3	99	3	1	0	0	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	
222000035	[ce5dd4]强力鬼[-]	ce5dd4	[410303]转身挥出重拳击退敌人[-]	2	0	11	99	20	0	1	99	3	1	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	
222000036	[ce5dd4]眩之拳[-]	ce5dd4	[410303]重击敌人照成伤害击晕敌人[-]	2	0	11	99	20	0	0	99	3	1	0	0	4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	
222000037	[ce5dd4]BUFF动作[-]	ce5dd4	[410303]增加自身暴击率[-]	2	0	11	99	20	0	3	99	3	1	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	
222000038	[ce5dd4]影之舞[-]	ce5dd4	[410303]拉住敌人对其照成伤害[-]	2	0	11	99	20	0	2	99	3	1	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	
222000039	[ce5dd4]影灵连刺[-]	ce5dd4	[410303]对范围内多个敌人进行来回冲击击倒敌人[-]	2	0	11	99	20	0	0	99	3	1	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	
222000040	[ce5dd5]冲撞技能[-]	ce5dd4	[410303]向前重装照成伤害[-]	2	0	11	99	20	0	0	99	3	1	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
222000041	[ce5dd6]少鬼拳[-]	ce5dd4	[410303]对目标打出九路鬼拳照成伤害击退敌方[-]	2	0	11	99	20	0	0	99	3	1	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
222000042	[ce5dd7]暗升龙鬼拳[-]	ce5dd4	[410303]打出黑气对范围敌人伤害[-]	2	0	11	99	20	0	0	99	3	1	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
222000043	[ce5dd8]魅灵鬼[-]	ce5dd4	[410303]对敌方进行连续攻击使对方浮空[-]	2	0	11	99	20	0	0	99	3	1	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
222000044	[ce5dd9]旋身技[-]	ce5dd4	[410303]倒地翻滚起身[-]	2	0	11	99	20	0	0	99	3	1	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	
222000045	[ce5dd9]古墓-生命[-]	ce5dd4	[410303]（被动）即时增加生命[-]	2	0	11	99	20	0	0	99	3	1	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	
222000046	[ce5dd9]古墓-武攻[-]	ce5dd4	[410303]（被动）即时增加武攻[-]	2	0	11	99	20	0	0	99	3	1	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	
222000047	[ce5dd9]古墓-武防[-]	ce5dd4	[410303]（被动）即时增加武防[-]	2	0	11	99	20	0	0	99	3	1	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	
222000048	[ce5dd9]古墓-内攻[-]	ce5dd4	[410303]（被动）即时增加内攻[-]	2	0	11	99	20	0	0	99	3	1	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
222000049	[ce5dd9]古墓-内防[-]	ce5dd4	[410303]（被动）即时增加内防[-]	2	0	11	99	20	0	0	99	3	1	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	
222000050	[ce5dd9]少林-生命[-]	ce5dd4	[410303]（被动）即时增加生命[-]	2	0	11	99	20	0	0	99	3	1	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	
222000051	[ce5dd9]少林-武攻[-]	ce5dd4	[410303]（被动）即时增加武攻[-]	2	0	11	99	20	0	0	99	3	1	0	0	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	
222000052	[ce5dd9]少林-武防[-]	ce5dd4	[410303]（被动）即时增加武防[-]	2	0	11	99	20	0	0	99	3	1	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	
222000053	[ce5dd9]少林-内攻[-]	ce5dd4	[410303]（被动）即时增加内攻[-]	2	0	11	99	20	0	0	99	3	1	0	0	4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	
222000054	[ce5dd9]少林-内防[-]	ce5dd4	[410303]（被动）即时增加内防[-]	2	0	11	99	20	0	0	99	3	1	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	
222000055	[ce5dd9]逍遥-生命[-]	ce5dd4	[410303]（被动）即时增加生命[-]	2	0	11	99	20	0	0	99	3	1	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	
222000056	[ce5dd9]逍遥-武攻[-]	ce5dd4	[410303]（被动）即时增加武攻[-]	2	0	11	99	20	0	0	99	3	1	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	
222000057	[ce5dd9]逍遥-武防[-]	ce5dd4	[410303]（被动）即时增加武防[-]	2	0	11	99	20	0	0	99	3	1	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	
222000058	[ce5dd9]逍遥-内攻[-]	ce5dd4	[410303]（被动）即时增加内攻[-]	2	0	11	99	20	0	0	99	3	1	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	
222000059	[ce5dd9]逍遥-内防[-]	ce5dd4	[410303]（被动）即时增加内防[-]	2	0	11	99	20	0	0	99	3	1	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	
222000060	[ce5dd9]魔教-生命[-]	ce5dd4	[410303]（被动）即时增加生命[-]	2	0	11	99	20	0	0	99	3	1	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	
222000061	[ce5dd9]魔教-武攻[-]	ce5dd4	[410303]（被动）即时增加武攻[-]	2	0	11	99	20	0	0	99	3	1	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	
222000062	[ce5dd9]魔教-武防[-]	ce5dd4	[410303]（被动）即时增加武防[-]	2	0	11	99	20	0	0	99	3	1	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	
222000063	[ce5dd9]魔教-内攻[-]	ce5dd4	[410303]（被动）即时增加内攻[-]	2	0	11	99	20	0	0	99	3	1	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	
222000064	[ce5dd9]魔教-内防[-]	ce5dd4	[410303]（被动）即时增加内防[-]	2	0	11	99	20	0	0	99	3	1	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	
																																		
																																		
