服务器输出文件名	config_treause_stage.xml	根名称	ability														
客户端输出文件名	config_treause_stage.xml	项名称	treause_stage														
升阶唯一ID	宝物ID	阶	孔序	激活当前孔需要的真气	int16当前加成类型	float当前加的值											
20030304	2003	3	4	22400	116	20											
20030305	2003	3	5	22500	117	60											
20030306	2003	3	6	22600	118	45											
20030307	2003	3	7	22700	119	35											
20030308	2003	3	8	22800	120	20											
20030309	2003	3	9	22900	121	25											
20030310	2003	3	10	23000	122	30											
20030401	2003	4	1	23100	20	50											
20030402	2003	4	2	23200	21	55											
20030403	2003	4	3	23300	22	70											
20030404	2003	4	4	23400	102	75											
20030405	2003	4	5	23500	103	85											
20030406	2003	4	6	23600	105	55											
20030407	2003	4	7	23700	106	20											
20030408	2003	4	8	23800	107	30											
20030409	2003	4	9	23900	108	20											
20030410	2003	4	10	24000	109	80											
20030501	2003	5	1	24100	110	30											
20030502	2003	5	2	24200	111	50											
20030503	2003	5	3	24300	112	20											
20030504	2003	5	4	24400	113	60											
20030505	2003	5	5	24500	114	10											
20030506	2003	5	6	24600	115	50											
20030507	2003	5	7	24700	116	20											
20030508	2003	5	8	24800	117	60											
20030509	2003	5	9	24900	118	45											
20030510	2003	5	10	25000	119	35											
20030601	2003	6	1	25100	120	20											
20030602	2003	6	2	25200	121	25											
20030603	2003	6	3	25300	122	30											
20030604	2003	6	4	25400	20	50											
20030605	2003	6	5	25500	21	55											
20030606	2003	6	6	25600	22	70											
20030607	2003	6	7	25700	102	75											
20030608	2003	6	8	25800	103	85											
20030609	2003	6	9	25900	105	55											
20030610	2003	6	10	26000	106	20											
20030701	2003	7	1	26100	107	30											
20030702	2003	7	2	26200	108	20											
20030703	2003	7	3	26300	109	80											
20030704	2003	7	4	26400	110	30											
20030705	2003	7	5	26500	111	50											
20030706	2003	7	6	26600	112	20											
20030707	2003	7	7	26700	113	60											
20030708	2003	7	8	26800	114	10											
20030709	2003	7	9	26900	115	50											
20030710	2003	7	10	27000	116	20											
20030801	2003	8	1	27100	117	60											
20030802	2003	8	2	27200	118	45											
20030803	2003	8	3	27300	119	35											
20030804	2003	8	4	27400	120	20											
20030805	2003	8	5	27500	121	25											
20030806	2003	8	6	27600	122	30											
20030807	2003	8	7	27700	20	50											
20030808	2003	8	8	27800	21	55											
20030809	2003	8	9	27900	22	70											
20030810	2003	8	10	28000	102	75											
20030901	2003	9	1	28100	103	85											
20030902	2003	9	2	28200	105	55											
20030903	2003	9	3	28300	106	20											
20030904	2003	9	4	28400	107	30											
20030905	2003	9	5	28500	108	20											
20030906	2003	9	6	28600	109	80											
20030907	2003	9	7	28700	110	30											
20030908	2003	9	8	28800	111	50											
20030909	2003	9	9	28900	112	20											
20030910	2003	9	10	29000	113	60											
20031001	2003	10	1	29100	114	10											
20031002	2003	10	2	29200	115	50											
20031003	2003	10	3	29300	116	20											
20031004	2003	10	4	29400	117	60											
20031005	2003	10	5	29500	118	45											
20031006	2003	10	6	29600	119	35											
20031007	2003	10	7	29700	120	20											
20031008	2003	10	8	29800	121	25											
20031009	2003	10	9	29900	122	30											
20031010	2003	10	10	30000	20	50											
20040101	2004	1	1	30100	21	55											
20040102	2004	1	2	30200	22	70											
20040103	2004	1	3	30300	102	75											
20040104	2004	1	4	30400	103	85											
20040105	2004	1	5	30500	105	55											
20040106	2004	1	6	30600	106	20											
20040107	2004	1	7	30700	107	30											
20040108	2004	1	8	30800	108	20											
20040109	2004	1	9	30900	109	80											
20040110	2004	1	10	31000	110	30											
20040201	2004	2	1	31100	111	50											
20040202	2004	2	2	31200	112	20											
20040203	2004	2	3	31300	113	60											
20040204	2004	2	4	31400	114	10											
20040205	2004	2	5	31500	115	50											
20040206	2004	2	6	31600	116	20											
20040207	2004	2	7	31700	117	60											
20040208	2004	2	8	31800	118	45											
20040209	2004	2	9	31900	119	35											
20040210	2004	2	10	32000	120	20											
20040301	2004	3	1	32100	121	25											
20040302	2004	3	2	32200	122	30											
20040303	2004	3	3	32300	20	50											
20040304	2004	3	4	32400	21	55											
20040305	2004	3	5	32500	22	70											
20040306	2004	3	6	32600	102	75											
20040307	2004	3	7	32700	103	85											
20040308	2004	3	8	32800	105	55											
20040309	2004	3	9	32900	106	20											
20040310	2004	3	10	33000	107	30											
20040401	2004	4	1	33100	108	20											
20040402	2004	4	2	33200	109	80											
20040403	2004	4	3	33300	110	30											
20040404	2004	4	4	33400	111	50											
20040405	2004	4	5	33500	112	20											
20040406	2004	4	6	33600	113	60											
20040407	2004	4	7	33700	114	10											
20040408	2004	4	8	33800	115	50											
20040409	2004	4	9	33900	116	20											
20040410	2004	4	10	34000	117	60											
20040501	2004	5	1	34100	118	45											
20040502	2004	5	2	34200	119	35											
20040503	2004	5	3	34300	120	20											
20040504	2004	5	4	34400	121	25											
20040505	2004	5	5	34500	122	30											
20040506	2004	5	6	34600	20	50											
20040507	2004	5	7	34700	21	55											
20040508	2004	5	8	34800	22	70											
20040509	2004	5	9	34900	102	75											
20040510	2004	5	10	35000	103	85											
20040601	2004	6	1	35100	105	55											
20040602	2004	6	2	35200	106	20											
20040603	2004	6	3	35300	107	30											
20040604	2004	6	4	35400	108	20											
20040605	2004	6	5	35500	109	80											
20040606	2004	6	6	35600	110	30											
20040607	2004	6	7	35700	111	50											
20040608	2004	6	8	35800	112	20											
20040609	2004	6	9	35900	113	60											
20040610	2004	6	10	36000	114	10											
20040701	2004	7	1	36100	115	50											
20040702	2004	7	2	36200	116	20											
20040703	2004	7	3	36300	117	60											
20040704	2004	7	4	36400	118	45											
20040705	2004	7	5	36500	119	35											
20040706	2004	7	6	36600	120	20											
20040707	2004	7	7	36700	121	25											
20040708	2004	7	8	36800	122	30											
20040709	2004	7	9	36900	20	50											
20040710	2004	7	10	37000	21	55											
20040801	2004	8	1	37100	22	70											
20040802	2004	8	2	37200	102	75											
20040803	2004	8	3	37300	103	85											
20040804	2004	8	4	37400	105	55											
20040805	2004	8	5	37500	106	20											
20040806	2004	8	6	37600	107	30											
20040807	2004	8	7	37700	108	20											
20040808	2004	8	8	37800	109	80											
20040809	2004	8	9	37900	110	30											
20040810	2004	8	10	38000	111	50											
20040901	2004	9	1	38100	112	20											
20040902	2004	9	2	38200	113	60											
20040903	2004	9	3	38300	114	10											
20040904	2004	9	4	38400	115	50											
20040905	2004	9	5	38500	116	20											
20040906	2004	9	6	38600	117	60											
20040907	2004	9	7	38700	118	45											
20040908	2004	9	8	38800	119	35											
20040909	2004	9	9	38900	120	20											
20040910	2004	9	10	39000	121	25											
20041001	2004	10	1	39100	122	30											
20041002	2004	10	2	39200	20	50											
20041003	2004	10	3	39300	21	55											
20041004	2004	10	4	39400	22	70											
20041005	2004	10	5	39500	102	75											
20041006	2004	10	6	39600	103	85											
20041007	2004	10	7	39700	105	55											
20041008	2004	10	8	39800	106	20											
20041009	2004	10	9	39900	107	30											
20041010	2004	10	10	40000	108	20											
20050101	2005	1	1	40100	109	80											
20050102	2005	1	2	40200	110	30											
20050103	2005	1	3	40300	111	50											
20050104	2005	1	4	40400	112	20											
20050105	2005	1	5	40500	113	60											
20050106	2005	1	6	40600	114	10											
20050107	2005	1	7	40700	115	50											
20050108	2005	1	8	40800	116	20											
20050109	2005	1	9	40900	117	60											
20050110	2005	1	10	41000	118	45											
20050201	2005	2	1	41100	119	35											
20050202	2005	2	2	41200	120	20											
20050203	2005	2	3	41300	121	25											
20050204	2005	2	4	41400	122	30											
20050205	2005	2	5	41500	20	50											
20050206	2005	2	6	41600	21	55											
20050207	2005	2	7	41700	22	70											
20050208	2005	2	8	41800	102	75											
20050209	2005	2	9	41900	103	85											
20050210	2005	2	10	42000	105	55											
20050301	2005	3	1	42100	106	20											
20050302	2005	3	2	42200	107	30											
20050303	2005	3	3	42300	108	20											
20050304	2005	3	4	42400	109	80											
20050305	2005	3	5	42500	110	30											
20050306	2005	3	6	42600	111	50											
20050307	2005	3	7	42700	112	20											
20050308	2005	3	8	42800	113	60											
20050309	2005	3	9	42900	114	10											
20050310	2005	3	10	43000	115	50											
20050401	2005	4	1	43100	116	20											
20050402	2005	4	2	43200	117	60											
20050403	2005	4	3	43300	118	45											
20050404	2005	4	4	43400	119	35											
20050405	2005	4	5	43500	120	20											
20050406	2005	4	6	43600	121	25											
20050407	2005	4	7	43700	122	30											
20050408	2005	4	8	43800	20	50											
20050409	2005	4	9	43900	21	55											
20050410	2005	4	10	44000	22	70											
20050501	2005	5	1	44100	102	75											
20050502	2005	5	2	44200	103	85											
20050503	2005	5	3	44300	105	55											
20050504	2005	5	4	44400	106	20											
20050505	2005	5	5	44500	107	30											
20050506	2005	5	6	44600	108	20											
20050507	2005	5	7	44700	109	80											
20050508	2005	5	8	44800	110	30											
20050509	2005	5	9	44900	111	50											
20050510	2005	5	10	45000	112	20											
20050601	2005	6	1	45100	113	60											
20050602	2005	6	2	45200	114	10											
20050603	2005	6	3	45300	115	50											
20050604	2005	6	4	45400	116	20											
20050605	2005	6	5	45500	117	60											
20050606	2005	6	6	45600	118	45											
20050607	2005	6	7	45700	119	35											
20050608	2005	6	8	45800	120	20											
20050609	2005	6	9	45900	121	25											
20050610	2005	6	10	46000	122	30											
20050701	2005	7	1	46100	20	50											
20050702	2005	7	2	46200	21	55											
20050703	2005	7	3	46300	22	70											
20050704	2005	7	4	46400	102	75											
20050705	2005	7	5	46500	103	85											
20050706	2005	7	6	46600	105	55											
20050707	2005	7	7	46700	106	20											
20050708	2005	7	8	46800	107	30											
20050709	2005	7	9	46900	108	20											
20050710	2005	7	10	47000	109	80											
20050801	2005	8	1	47100	110	30											
20050802	2005	8	2	47200	111	50											
20050803	2005	8	3	47300	112	20											
20050804	2005	8	4	47400	113	60											
20050805	2005	8	5	47500	114	10											
20050806	2005	8	6	47600	115	50											
20050807	2005	8	7	47700	116	20											
20050808	2005	8	8	47800	117	60											
20050809	2005	8	9	47900	118	45											
20050810	2005	8	10	48000	119	35											
20050901	2005	9	1	48100	120	20											
20050902	2005	9	2	48200	121	25											
20050903	2005	9	3	48300	122	30											
20050904	2005	9	4	48400	20	50											
20050905	2005	9	5	48500	21	55											
20050906	2005	9	6	48600	22	70											
20050907	2005	9	7	48700	102	75											
20050908	2005	9	8	48800	103	85											
20050909	2005	9	9	48900	105	55											
20050910	2005	9	10	49000	106	20											
20051001	2005	10	1	49100	107	30											
20051002	2005	10	2	49200	108	20											
20051003	2005	10	3	49300	109	80											
20051004	2005	10	4	49400	110	30											
20051005	2005	10	5	49500	111	50											
20051006	2005	10	6	49600	112	20											
20051007	2005	10	7	49700	113	60											
20051008	2005	10	8	49800	114	10											
20051009	2005	10	9	49900	115	50											
20051010	2005	10	10	50000	116	20											
40010101	4001	1	1	100	20	60											
40010102	4001	1	2	200	21	45											
40010103	4001	1	3	300	22	35											
40010104	4001	1	4	400	102	20											
40010105	4001	1	5	500	103	25											
40010106	4001	1	6	600	105	30											
40010107	4001	1	7	700	106	50											
40010108	4001	1	8	800	107	55											
40010109	4001	1	9	900	108	70											
40010110	4001	1	10	1000	109	75											
40010201	4001	2	1	1100	110	85											
40010202	4001	2	2	1200	111	55											
40010203	4001	2	3	1300	112	20											
40010204	4001	2	4	1400	113	30											
40010205	4001	2	5	1500	114	20											
40010206	4001	2	6	1600	115	80											
40010207	4001	2	7	1700	116	30											
40010208	4001	2	8	1800	117	50											
40010209	4001	2	9	1900	118	20											
40010210	4001	2	10	2000	119	60											
40010301	4001	3	1	2100	120	10											
40010302	4001	3	2	2200	121	50											
40010303	4001	3	3	2300	122	20											
40010304	4001	3	4	2400	20	60											
40010305	4001	3	5	2500	21	45											
40010306	4001	3	6	2600	22	35											
40010307	4001	3	7	2700	102	20											
40010308	4001	3	8	2800	103	25											
40010309	4001	3	9	2900	105	30											
40010310	4001	3	10	3000	106	50											
40010401	4001	4	1	3100	107	55											
40010402	4001	4	2	3200	108	70											
40010403	4001	4	3	3300	109	75											
40010404	4001	4	4	3400	110	85											
40010405	4001	4	5	3500	111	55											
40010406	4001	4	6	3600	112	20											
40010407	4001	4	7	3700	113	30											
40010408	4001	4	8	3800	114	20											
40010409	4001	4	9	3900	115	80											
40010410	4001	4	10	4000	116	30											
40010501	4001	5	1	4100	117	50											
40010502	4001	5	2	4200	118	20											
40010503	4001	5	3	4300	119	60											
40010504	4001	5	4	4400	120	10											
40010505	4001	5	5	4500	121	50											
40010506	4001	5	6	4600	122	20											
40010507	4001	5	7	4700	20	60											
40010508	4001	5	8	4800	21	45											
40010509	4001	5	9	4900	22	35											
40010510	4001	5	10	5000	102	20											
40010601	4001	6	1	5100	103	25											
40010602	4001	6	2	5200	105	30											
40010603	4001	6	3	5300	106	50											
40010604	4001	6	4	5400	107	55											
40010605	4001	6	5	5500	108	70											
40010606	4001	6	6	5600	109	75											
40010607	4001	6	7	5700	110	85											
40010608	4001	6	8	5800	111	55											
40010609	4001	6	9	5900	112	20											
40010610	4001	6	10	6000	113	30											
40010701	4001	7	1	6100	114	20											
40010702	4001	7	2	6200	115	80											
40010703	4001	7	3	6300	116	30											
40010704	4001	7	4	6400	117	50											
40010705	4001	7	5	6500	118	20											
40010706	4001	7	6	6600	119	60											
40010707	4001	7	7	6700	120	10											
40010708	4001	7	8	6800	121	50											
40010709	4001	7	9	6900	122	20											
40010710	4001	7	10	7000	20	60											
40010801	4001	8	1	7100	21	45											
40010802	4001	8	2	7200	22	35											
40010803	4001	8	3	7300	102	20											
40010804	4001	8	4	7400	103	25											
40010805	4001	8	5	7500	105	30											
40010806	4001	8	6	7600	106	50											
40010807	4001	8	7	7700	107	55											
40010808	4001	8	8	7800	108	70											
40010809	4001	8	9	7900	109	75											
40010810	4001	8	10	8000	110	85											
40010901	4001	9	1	8100	111	55											
40010902	4001	9	2	8200	112	20											
40010903	4001	9	3	8300	113	30											
40010904	4001	9	4	8400	114	20											
40010905	4001	9	5	8500	115	80											
40010906	4001	9	6	8600	116	30											
40010907	4001	9	7	8700	117	50											
40010908	4001	9	8	8800	118	20											
40010909	4001	9	9	8900	119	60											
40010910	4001	9	10	9000	120	10											
40011001	4001	10	1	9100	121	50											
40011002	4001	10	2	9200	122	20											
40011003	4001	10	3	9300	20	60											
40011004	4001	10	4	9400	21	45											
40011005	4001	10	5	9500	22	35											
40011006	4001	10	6	9600	102	20											
40011007	4001	10	7	9700	103	25											
40011008	4001	10	8	9800	105	30											
40011009	4001	10	9	9900	106	50											
40011010	4001	10	10	10000	107	55											
40020101	4002	1	1	10100	108	70											
40020102	4002	1	2	10200	109	75											
40020103	4002	1	3	10300	110	85											
40020104	4002	1	4	10400	111	55											
40020105	4002	1	5	10500	112	20											
40020106	4002	1	6	10600	113	30											
40020107	4002	1	7	10700	114	20											
40020108	4002	1	8	10800	115	80											
40020109	4002	1	9	10900	116	30											
40020110	4002	1	10	11000	117	50											
40020201	4002	2	1	11100	118	20											
40020202	4002	2	2	11200	119	60											
40020203	4002	2	3	11300	120	10											
40020204	4002	2	4	11400	121	50											
40020205	4002	2	5	11500	122	20											
40020206	4002	2	6	11600	20	60											
40020207	4002	2	7	11700	21	45											
40020208	4002	2	8	11800	22	35											
40020209	4002	2	9	11900	102	20											
40020210	4002	2	10	12000	103	25											
40020301	4002	3	1	12100	105	30											
40020302	4002	3	2	12200	106	50											
40020303	4002	3	3	12300	107	55											
40020304	4002	3	4	12400	108	70											
40020305	4002	3	5	12500	109	75											
40020306	4002	3	6	12600	110	85											
40020307	4002	3	7	12700	111	55											
40020308	4002	3	8	12800	112	20											
40020309	4002	3	9	12900	113	30											
40020310	4002	3	10	13000	114	20											
40020401	4002	4	1	13100	115	80											
40020402	4002	4	2	13200	116	30											
40020403	4002	4	3	13300	117	50											
40020404	4002	4	4	13400	118	20											
40020405	4002	4	5	13500	119	60											
40020406	4002	4	6	13600	120	10											
40020407	4002	4	7	13700	121	50											
40020408	4002	4	8	13800	122	20											
40020409	4002	4	9	13900	20	60											
40020410	4002	4	10	14000	21	45											
40020501	4002	5	1	14100	22	35											
40020502	4002	5	2	14200	102	20											
40020503	4002	5	3	14300	103	25											
40020504	4002	5	4	14400	105	30											
40020505	4002	5	5	14500	106	50											
40020506	4002	5	6	14600	107	55											
40020507	4002	5	7	14700	108	70											
40020508	4002	5	8	14800	109	75											
40020509	4002	5	9	14900	110	85											
40020510	4002	5	10	15000	111	55											
40020601	4002	6	1	15100	112	20											
40020602	4002	6	2	15200	113	30											
40020603	4002	6	3	15300	114	20											
40020604	4002	6	4	15400	115	80											
40020605	4002	6	5	15500	116	30											
40020606	4002	6	6	15600	117	50											
40020607	4002	6	7	15700	118	20											
40020608	4002	6	8	15800	119	60											
40020609	4002	6	9	15900	120	10											
40020610	4002	6	10	16000	121	50											
40020701	4002	7	1	16100	122	20											
40020702	4002	7	2	16200	20	60											
40020703	4002	7	3	16300	21	45											
40020704	4002	7	4	16400	22	35											
40020705	4002	7	5	16500	102	20											
40020706	4002	7	6	16600	103	25											
40020707	4002	7	7	16700	105	30											
40020708	4002	7	8	16800	106	50											
40020709	4002	7	9	16900	107	55											
40020710	4002	7	10	17000	108	70											
40020801	4002	8	1	17100	109	75											
40020802	4002	8	2	17200	110	85											
40020803	4002	8	3	17300	111	55											
40020804	4002	8	4	17400	112	20											
40020805	4002	8	5	17500	113	30											
40020806	4002	8	6	17600	114	20											
40020807	4002	8	7	17700	115	80											
40020808	4002	8	8	17800	116	30											
40020809	4002	8	9	17900	117	50											
40020810	4002	8	10	18000	118	20											
40020901	4002	9	1	18100	119	60											
40020902	4002	9	2	18200	120	10											
40020903	4002	9	3	18300	121	50											
40020904	4002	9	4	18400	122	20											
40020905	4002	9	5	18500	20	60											
40020906	4002	9	6	18600	21	45											
40020907	4002	9	7	18700	22	35											
40020908	4002	9	8	18800	102	20											
40020909	4002	9	9	18900	103	25											
40020910	4002	9	10	19000	105	30											
40021001	4002	10	1	19100	106	50											
40021002	4002	10	2	19200	107	55											
40021003	4002	10	3	19300	108	70											
40021004	4002	10	4	19400	109	75											
40021005	4002	10	5	19500	110	85											
40021006	4002	10	6	19600	111	55											
40021007	4002	10	7	19700	112	20											
40021008	4002	10	8	19800	113	30											
40021009	4002	10	9	19900	114	20											
40021010	4002	10	10	20000	115	80											
40030101	4003	1	1	20100	116	30											
40030102	4003	1	2	20200	117	50											
40030103	4003	1	3	20300	118	20											
40030104	4003	1	4	20400	119	60											
40030105	4003	1	5	20500	120	10											
40030106	4003	1	6	20600	121	50											
40030107	4003	1	7	20700	122	20											
40030108	4003	1	8	20800	20	60											
40030109	4003	1	9	20900	21	45											
40030110	4003	1	10	21000	22	35											
40030201	4003	2	1	21100	102	20											
40030202	4003	2	2	21200	103	25											
40030203	4003	2	3	21300	105	30											
40030204	4003	2	4	21400	106	50											
40030205	4003	2	5	21500	107	55											
40030206	4003	2	6	21600	108	70											
40030207	4003	2	7	21700	109	75											
40030208	4003	2	8	21800	110	85											
40030209	4003	2	9	21900	111	55											
40030210	4003	2	10	22000	112	20											
40030301	4003	3	1	22100	113	30											
40030302	4003	3	2	22200	114	20											
40030303	4003	3	3	22300	115	80											
40030304	4003	3	4	22400	116	30											
40030305	4003	3	5	22500	117	50											
40030306	4003	3	6	22600	118	20											
40030307	4003	3	7	22700	119	60											
40030308	4003	3	8	22800	120	10											
40030309	4003	3	9	22900	121	50											
40030310	4003	3	10	23000	122	20											
40030401	4003	4	1	23100	20	60											
40030402	4003	4	2	23200	21	45											
40030403	4003	4	3	23300	22	35											
40030404	4003	4	4	23400	102	20											
40030405	4003	4	5	23500	103	25											
40030406	4003	4	6	23600	105	30											
40030407	4003	4	7	23700	106	50											
40030408	4003	4	8	23800	107	55											
40030409	4003	4	9	23900	108	70											
40030410	4003	4	10	24000	109	75											
40030501	4003	5	1	24100	110	85											
40030502	4003	5	2	24200	111	55											
40030503	4003	5	3	24300	112	20											
40030504	4003	5	4	24400	113	30											
40030505	4003	5	5	24500	114	20											
40030506	4003	5	6	24600	115	80											
40030507	4003	5	7	24700	116	30											
40030508	4003	5	8	24800	117	50											
40030509	4003	5	9	24900	118	20											
40030510	4003	5	10	25000	119	60											
40030601	4003	6	1	25100	120	10											
40030602	4003	6	2	25200	121	50											
40030603	4003	6	3	25300	122	20											
40030604	4003	6	4	25400	20	60											
40030605	4003	6	5	25500	21	45											
40030606	4003	6	6	25600	22	35											
40030607	4003	6	7	25700	102	20											
40030608	4003	6	8	25800	103	25											
40030609	4003	6	9	25900	105	30											
40030610	4003	6	10	26000	106	50											
40030701	4003	7	1	26100	107	55											
40030702	4003	7	2	26200	108	70											
40030703	4003	7	3	26300	109	75											
40030704	4003	7	4	26400	110	85											
40030705	4003	7	5	26500	111	55											
40030706	4003	7	6	26600	112	20											
40030707	4003	7	7	26700	113	30											
40030708	4003	7	8	26800	114	20											
40030709	4003	7	9	26900	115	80											
40030710	4003	7	10	27000	116	30											
40030801	4003	8	1	27100	117	50											
40030802	4003	8	2	27200	118	20											
40030803	4003	8	3	27300	119	60											
40030804	4003	8	4	27400	120	10											
40030805	4003	8	5	27500	121	50											
40030806	4003	8	6	27600	122	20											
40030807	4003	8	7	27700	20	60											
40030808	4003	8	8	27800	21	45											
40030809	4003	8	9	27900	22	35											
40030810	4003	8	10	28000	102	20											
40030901	4003	9	1	28100	103	25											
40030902	4003	9	2	28200	105	30											
40030903	4003	9	3	28300	106	50											
40030904	4003	9	4	28400	107	55											
40030905	4003	9	5	28500	108	70											
40030906	4003	9	6	28600	109	75											
40030907	4003	9	7	28700	110	85											
40030908	4003	9	8	28800	111	55											
40030909	4003	9	9	28900	112	20											
40030910	4003	9	10	29000	113	30											
40031001	4003	10	1	29100	114	20											
40031002	4003	10	2	29200	115	80											
40031003	4003	10	3	29300	116	30											
40031004	4003	10	4	29400	117	50											
40031005	4003	10	5	29500	118	20											
40031006	4003	10	6	29600	119	60											
40031007	4003	10	7	29700	120	10											
40031008	4003	10	8	29800	121	50											
40031009	4003	10	9	29900	122	20											
40031010	4003	10	10	30000	20	60											
40040101	4004	1	1	30100	21	45											
40040102	4004	1	2	30200	22	35											
40040103	4004	1	3	30300	102	20											
40040104	4004	1	4	30400	103	25											
40040105	4004	1	5	30500	105	30											
40040106	4004	1	6	30600	106	50											
40040107	4004	1	7	30700	107	55											
40040108	4004	1	8	30800	108	70											
40040109	4004	1	9	30900	109	75											
40040110	4004	1	10	31000	110	85											
40040201	4004	2	1	31100	111	55											
40040202	4004	2	2	31200	112	20											
40040203	4004	2	3	31300	113	30											
40040204	4004	2	4	31400	114	20											
40040205	4004	2	5	31500	115	80											
40040206	4004	2	6	31600	116	30											
40040207	4004	2	7	31700	117	50											
40040208	4004	2	8	31800	118	20											
40040209	4004	2	9	31900	119	60											
40040210	4004	2	10	32000	120	10											
40040301	4004	3	1	32100	121	50											
40040302	4004	3	2	32200	122	20											
40040303	4004	3	3	32300	20	60											
40040304	4004	3	4	32400	21	45											
40040305	4004	3	5	32500	22	35											
40040306	4004	3	6	32600	102	20											
40040307	4004	3	7	32700	103	25											
40040308	4004	3	8	32800	105	30											
40040309	4004	3	9	32900	106	50											
40040310	4004	3	10	33000	107	55											
40040401	4004	4	1	33100	108	70											
40040402	4004	4	2	33200	109	75											
40040403	4004	4	3	33300	110	85											
40040404	4004	4	4	33400	111	55											
40040405	4004	4	5	33500	112	20											
40040406	4004	4	6	33600	113	30											
40040407	4004	4	7	33700	114	20											
40040408	4004	4	8	33800	115	80											
40040409	4004	4	9	33900	116	30											
40040410	4004	4	10	34000	117	50											
40040501	4004	5	1	34100	118	20											
40040502	4004	5	2	34200	119	60											
40040503	4004	5	3	34300	120	10											
40040504	4004	5	4	34400	121	50											
40040505	4004	5	5	34500	122	20											
40040506	4004	5	6	34600	20	60											
40040507	4004	5	7	34700	21	45											
40040508	4004	5	8	34800	22	35											
40040509	4004	5	9	34900	102	20											
40040510	4004	5	10	35000	103	25											
40040601	4004	6	1	35100	105	30											
40040602	4004	6	2	35200	106	50											
40040603	4004	6	3	35300	107	55											
40040604	4004	6	4	35400	108	70											
40040605	4004	6	5	35500	109	75											
40040606	4004	6	6	35600	110	85											
40040607	4004	6	7	35700	111	55											
40040608	4004	6	8	35800	112	20											
40040609	4004	6	9	35900	113	30											
40040610	4004	6	10	36000	114	20											
40040701	4004	7	1	36100	115	80											
40040702	4004	7	2	36200	116	30											
40040703	4004	7	3	36300	117	50											
40040704	4004	7	4	36400	118	20											
40040705	4004	7	5	36500	119	60											
40040706	4004	7	6	36600	120	10											
40040707	4004	7	7	36700	121	50											
40040708	4004	7	8	36800	122	20											
40040709	4004	7	9	36900	20	60											
40040710	4004	7	10	37000	21	45											
40040801	4004	8	1	37100	22	35											
40040802	4004	8	2	37200	102	20											
40040803	4004	8	3	37300	103	25											
40040804	4004	8	4	37400	105	30											
40040805	4004	8	5	37500	106	50											
40040806	4004	8	6	37600	107	55											
40040807	4004	8	7	37700	108	70											
40040808	4004	8	8	37800	109	75											
40040809	4004	8	9	37900	110	85											
40040810	4004	8	10	38000	111	55											
40040901	4004	9	1	38100	112	20											
40040902	4004	9	2	38200	113	30											
40040903	4004	9	3	38300	114	20											
40040904	4004	9	4	38400	115	80											
40040905	4004	9	5	38500	116	30											
40040906	4004	9	6	38600	117	50											
40040907	4004	9	7	38700	118	20											
40040908	4004	9	8	38800	119	60											
40040909	4004	9	9	38900	120	10											
40040910	4004	9	10	39000	121	50											
40041001	4004	10	1	39100	122	20											
40041002	4004	10	2	39200	20	60											
40041003	4004	10	3	39300	21	45											
40041004	4004	10	4	39400	22	35											
40041005	4004	10	5	39500	102	20											
40041006	4004	10	6	39600	103	25											
40041007	4004	10	7	39700	105	30											
40041008	4004	10	8	39800	106	50											
40041009	4004	10	9	39900	107	55											
40041010	4004	10	10	40000	108	70											
40050101	4005	1	1	40100	109	75											
40050102	4005	1	2	40200	110	85											
40050103	4005	1	3	40300	111	55											
40050104	4005	1	4	40400	112	20											
40050105	4005	1	5	40500	113	30											
40050106	4005	1	6	40600	114	20											
40050107	4005	1	7	40700	115	80											
40050108	4005	1	8	40800	116	30											
40050109	4005	1	9	40900	117	50											
40050110	4005	1	10	41000	118	20											
40050201	4005	2	1	41100	119	60											
40050202	4005	2	2	41200	120	10											
40050203	4005	2	3	41300	121	50											
40050204	4005	2	4	41400	122	20											
40050205	4005	2	5	41500	20	60											
40050206	4005	2	6	41600	21	45											
40050207	4005	2	7	41700	22	35											
40050208	4005	2	8	41800	102	20											
40050209	4005	2	9	41900	103	25											
40050210	4005	2	10	42000	105	30											
40050301	4005	3	1	42100	106	50											
40050302	4005	3	2	42200	107	55											
40050303	4005	3	3	42300	108	70											
40050304	4005	3	4	42400	109	75											
40050305	4005	3	5	42500	110	85											
40050306	4005	3	6	42600	111	55											
40050307	4005	3	7	42700	112	20											
40050308	4005	3	8	42800	113	30											
40050309	4005	3	9	42900	114	20											
40050310	4005	3	10	43000	115	80											
40050401	4005	4	1	43100	116	30											
40050402	4005	4	2	43200	117	50											
40050403	4005	4	3	43300	118	20											
40050404	4005	4	4	43400	119	60											
40050405	4005	4	5	43500	120	10											
40050406	4005	4	6	43600	121	50											
40050407	4005	4	7	43700	122	20											
40050408	4005	4	8	43800	20	60											
40050409	4005	4	9	43900	21	45											
40050410	4005	4	10	44000	22	35											
40050501	4005	5	1	44100	102	20											
40050502	4005	5	2	44200	103	25											
40050503	4005	5	3	44300	105	30											
40050504	4005	5	4	44400	106	50											
40050505	4005	5	5	44500	107	55											
40050506	4005	5	6	44600	108	70											
40050507	4005	5	7	44700	109	75											
40050508	4005	5	8	44800	110	85											
40050509	4005	5	9	44900	111	55											
40050510	4005	5	10	45000	112	20											
40050601	4005	6	1	45100	113	30											
40050602	4005	6	2	45200	114	20											
40050603	4005	6	3	45300	115	80											
40050604	4005	6	4	45400	116	30											
