服务器输出文件名	config_equip_wash_value.xml	根名称	ability																				
客户端输出文件名	config_equip_wash_value.xml	项名称	equip_wash_type																				
唯一idx	部位	品质(颜色)	属性类型	阶	随机数量	类型值1概率%	类型值1开始	类型值1结束	类型值2概率%	类型值2开始	类型值2结束	类型值3概率%	类型值3开始	类型值3结束	类型值4概率%	类型值4开始	类型值4结束	类型值5概率%	类型值5开始	类型值5结束			
15211305	5	2	113	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
15211406	5	2	114	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
15211507	5	2	115	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
15211608	5	2	116	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
15211709	5	2	117	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
15211810	5	2	118	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
15211911	5	2	119	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
15312001	5	3	120	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
15312102	5	3	121	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
15312203	5	3	122	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
15311104	5	3	111	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
15311205	5	3	112	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
15311306	5	3	113	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
15311407	5	3	114	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
15311508	5	3	115	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
15311609	5	3	116	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
15311710	5	3	117	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
15311811	5	3	118	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
15411901	5	4	119	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
15412002	5	4	120	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
15412103	5	4	121	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
15412204	5	4	122	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
15411105	5	4	111	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
15411206	5	4	112	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
15411307	5	4	113	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
15411408	5	4	114	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
15411509	5	4	115	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
15411610	5	4	116	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
15411711	5	4	117	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
15511801	5	5	118	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
15511902	5	5	119	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
15512003	5	5	120	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
15512104	5	5	121	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
15512205	5	5	122	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
15511106	5	5	111	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
15511207	5	5	112	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
15511308	5	5	113	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
15511409	5	5	114	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
15511510	5	5	115	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
15511611	5	5	116	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
16111701	6	1	117	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
16111802	6	1	118	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
16111903	6	1	119	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
16112004	6	1	120	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
16112105	6	1	121	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
16112206	6	1	122	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
16111107	6	1	111	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
16111208	6	1	112	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
16111309	6	1	113	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
16111410	6	1	114	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
16111511	6	1	115	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
16211601	6	2	116	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
16211702	6	2	117	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
16211803	6	2	118	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
16211904	6	2	119	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
16212005	6	2	120	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
16212106	6	2	121	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
16212207	6	2	122	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
16211108	6	2	111	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
16211209	6	2	112	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
16211310	6	2	113	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
16211411	6	2	114	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
16311501	6	3	115	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
16311602	6	3	116	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
16311703	6	3	117	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
16311804	6	3	118	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
16311905	6	3	119	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
16312006	6	3	120	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
16312107	6	3	121	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
16312208	6	3	122	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
16311109	6	3	111	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
16311210	6	3	112	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
16311311	6	3	113	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
16411401	6	4	114	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
16411502	6	4	115	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
16411603	6	4	116	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
16411704	6	4	117	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
16411805	6	4	118	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
16411906	6	4	119	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
16412007	6	4	120	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
16412108	6	4	121	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
16412209	6	4	122	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
16411110	6	4	111	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
16411211	6	4	112	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
16511301	6	5	113	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
16511402	6	5	114	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
16511503	6	5	115	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
16511604	6	5	116	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
16511705	6	5	117	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
16511806	6	5	118	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
16511907	6	5	119	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
16512008	6	5	120	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
16512109	6	5	121	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
16512210	6	5	122	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
16511111	6	5	111	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
17111201	7	1	112	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
17111302	7	1	113	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
17111403	7	1	114	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
17111504	7	1	115	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
17111605	7	1	116	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
17111706	7	1	117	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
17111807	7	1	118	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
17111908	7	1	119	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
17112009	7	1	120	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
17112110	7	1	121	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
17112211	7	1	122	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
17211101	7	2	111	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
17211202	7	2	112	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
17211303	7	2	113	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
17211404	7	2	114	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
17211505	7	2	115	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
17211606	7	2	116	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
17211707	7	2	117	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
17211808	7	2	118	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
17211909	7	2	119	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
17212010	7	2	120	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
17212111	7	2	121	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
17312201	7	3	122	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
17311102	7	3	111	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
17311203	7	3	112	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
17311304	7	3	113	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
17311405	7	3	114	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
17311506	7	3	115	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
17311607	7	3	116	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
17311708	7	3	117	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
17311809	7	3	118	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
17311910	7	3	119	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
17312011	7	3	120	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
17412101	7	4	121	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
17412202	7	4	122	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
17411103	7	4	111	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
17411204	7	4	112	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
17411305	7	4	113	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
17411406	7	4	114	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
17411507	7	4	115	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
17411608	7	4	116	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
17411709	7	4	117	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
17411810	7	4	118	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
17411911	7	4	119	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
17512001	7	5	120	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
17512102	7	5	121	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
17512203	7	5	122	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
17511104	7	5	111	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
17511205	7	5	112	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
17511306	7	5	113	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
17511407	7	5	114	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
17511508	7	5	115	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
17511609	7	5	116	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
17511710	7	5	117	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
17511811	7	5	118	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
18111901	8	1	119	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
18112002	8	1	120	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
18112103	8	1	121	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
18112204	8	1	122	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
18111105	8	1	111	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
18111206	8	1	112	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
18111307	8	1	113	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
18111408	8	1	114	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
18111509	8	1	115	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
18111610	8	1	116	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
18111711	8	1	117	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
18211801	8	2	118	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
18211902	8	2	119	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
18212003	8	2	120	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
18212104	8	2	121	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
18212205	8	2	122	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
18211106	8	2	111	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
18211207	8	2	112	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
18211308	8	2	113	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
18211409	8	2	114	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
18211510	8	2	115	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
18211611	8	2	116	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
18311701	8	3	117	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
18311802	8	3	118	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
18311903	8	3	119	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
18312004	8	3	120	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
18312105	8	3	121	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
18312206	8	3	122	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
18311107	8	3	111	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
18311208	8	3	112	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
18311309	8	3	113	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
18311410	8	3	114	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
18311511	8	3	115	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
18411601	8	4	116	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
18411702	8	4	117	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
18411803	8	4	118	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
18411904	8	4	119	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
18412005	8	4	120	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
18412106	8	4	121	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
18412207	8	4	122	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
18411108	8	4	111	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
18411209	8	4	112	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
18411310	8	4	113	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
18411411	8	4	114	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
18511501	8	5	115	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
18511602	8	5	116	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
18511703	8	5	117	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
18511804	8	5	118	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
18511905	8	5	119	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
18512006	8	5	120	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
18512107	8	5	121	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
18512208	8	5	122	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
18511109	8	5	111	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
18511210	8	5	112	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
18511311	8	5	113	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
19111401	9	1	114	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
19111502	9	1	115	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
19111603	9	1	116	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
19111704	9	1	117	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
19111805	9	1	118	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
19111906	9	1	119	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
19112007	9	1	120	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
19112108	9	1	121	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
19112209	9	1	122	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
19111110	9	1	111	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
19111211	9	1	112	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
19211301	9	2	113	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
19211402	9	2	114	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
19211503	9	2	115	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
19211604	9	2	116	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
19211705	9	2	117	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
19211806	9	2	118	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
19211907	9	2	119	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
19212008	9	2	120	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
19212109	9	2	121	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
19212210	9	2	122	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
19211111	9	2	111	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
19311201	9	3	112	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
19311302	9	3	113	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
19311403	9	3	114	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
19311504	9	3	115	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
19311605	9	3	116	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
19311706	9	3	117	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
19311807	9	3	118	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
19311908	9	3	119	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
19312009	9	3	120	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
19312110	9	3	121	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
19312211	9	3	122	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
19411101	9	4	111	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
19411202	9	4	112	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
19411303	9	4	113	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
19411404	9	4	114	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
19411505	9	4	115	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
19411606	9	4	116	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
19411707	9	4	117	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
19411808	9	4	118	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
19411909	9	4	119	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
19412010	9	4	120	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
19412111	9	4	121	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
19512201	9	5	122	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
19511102	9	5	111	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
19511203	9	5	112	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
19511304	9	5	113	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
19511405	9	5	114	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
19511506	9	5	115	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
19511607	9	5	116	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
19511708	9	5	117	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
19511809	9	5	118	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
19511910	9	5	119	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
19512011	9	5	120	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
