服务器输出文件名	config_equip_base.xml	根名称	ability																																								
客户端输出文件名	config_equip_base.xml	项名称	equip_base																																								
装备类型id	名称	描述	主类型	要求等级	出售货币类型	出售货币数量	排序权重(大的排前面)	有效时间	标记	分组大小	职业要求	部位	资质	品质	阶	主属性类型	数值	武力	身手	内力	生命上限	生命回复	怒气上限	怒气回复	武攻	武防	内力	内防	暴击率:百份比	暴击伤害:百份比	格挡率:百份比	格挡值:百份比	闪避:百份比	命中:百份比	伤害减免:百份比	CD减免:百份比	近战减免:百份比	远程减免:百份比	击中生命回复	击杀怒气回复	装备图标名称	模型形象	模型发型
109130701	金桃护胸	天空掉落仙桃，幻化成金	1	120	12	10	7	0	3	1	4	9	1	3	7	110	56.7	5.76	2.88	10.8	0	0	0	0	0	0	0	56.7	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
109130801	通灵护胸	通往灵界的桥梁，拥有阴深的力量	1	140	12	10	7	0	3	1	4	9	1	3	8	110	66.15	6.72	3.36	12.6	0	0	0	0	0	0	0	66.15	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
109130901	郁心护胸	无忧原始，无根行客，无尽离愁	1	160	12	10	7	0	3	1	4	9	1	3	9	110	75.6	7.68	3.84	14.4	0	0	0	0	0	0	0	75.6	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
109131001	啸天护胸	淮上一杯酒，能醉天涯万里人	1	180	12	10	7	0	3	1	4	9	1	3	10	110	85.05	8.64	4.32	16.2	0	0	0	0	0	0	0	85.05	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
109131101	冰神护胸	冰中女神，有着几乎逆天的威力	1	200	12	10	7	0	3	1	4	9	1	3	11	110	94.5	9.6	4.8	18	0	0	0	0	0	0	0	94.5	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
109230101	丝网护胸	普通丝网护胸，穿起来很凉爽	1	10	12	10	7	0	3	1	4	9	2	3	1	110	6.615	0.48	0.78	0.9	0	0	0	0	0	0	0	6.615	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
109230201	丝绸护胸	上等丝绸制作，穿起来很舒服	1	20	12	10	7	0	3	1	4	9	2	3	2	110	13.23	0.96	1.56	1.8	0	0	0	0	0	0	0	13.23	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
109230301	嘉文护胸	故人把酒杯未休，乡书遥寄离人愁	1	40	12	10	7	0	3	1	4	9	2	3	3	110	26.46	1.92	3.12	3.6	0	0	0	0	0	0	0	26.46	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
109230401	气旋护胸	归雁离群无意绪	1	60	12	10	7	0	3	1	4	9	2	3	4	110	39.69	2.88	4.68	5.4	0	0	0	0	0	0	0	39.69	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
109230501	思敏护胸	代表带一位女子的思念	1	80	12	10	7	0	3	1	4	9	2	3	5	110	52.92	3.84	6.24	7.2	0	0	0	0	0	0	0	52.92	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
109230601	俊义护胸	代表义气的象征，充满豪气	1	100	12	10	7	0	3	1	4	9	2	3	6	110	66.15	4.8	7.8	9	0	0	0	0	0	0	0	66.15	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
109230701	金桃护胸	天空掉落仙桃，幻化成金	1	120	12	10	7	0	3	1	4	9	2	3	7	110	79.38	5.76	9.36	10.8	0	0	0	0	0	0	0	79.38	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
109230801	通灵护胸	通往灵界的桥梁，拥有阴深的力量	1	140	12	10	7	0	3	1	4	9	2	3	8	110	92.61	6.72	10.92	12.6	0	0	0	0	0	0	0	92.61	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
109230901	郁心护胸	无忧原始，无根行客，无尽离愁	1	160	12	10	7	0	3	1	4	9	2	3	9	110	105.84	7.68	12.48	14.4	0	0	0	0	0	0	0	105.84	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
109231001	啸天护胸	淮上一杯酒，能醉天涯万里人	1	180	12	10	7	0	3	1	4	9	2	3	10	110	119.07	8.64	14.04	16.2	0	0	0	0	0	0	0	119.07	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
109231101	冰神护胸	冰中女神，有着几乎逆天的威力	1	200	12	10	7	0	3	1	4	9	2	3	11	110	132.3	9.6	15.6	18	0	0	0	0	0	0	0	132.3	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
109330101	丝网护胸	普通丝网护胸，穿起来很凉爽	1	10	12	10	7	0	3	1	4	9	3	3	1	110	9.45	0.48	0.96	0.9	0	0	0	0	0	0	0	9.45	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
109330201	丝绸护胸	上等丝绸制作，穿起来很舒服	1	20	12	10	7	0	3	1	4	9	3	3	2	110	18.9	0.96	1.92	1.8	0	0	0	0	0	0	0	18.9	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
109330301	嘉文护胸	故人把酒杯未休，乡书遥寄离人愁	1	40	12	10	7	0	3	1	4	9	3	3	3	110	37.8	1.92	3.84	3.6	0	0	0	0	0	0	0	37.8	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
109330401	气旋护胸	归雁离群无意绪	1	60	12	10	7	0	3	1	4	9	3	3	4	110	56.7	2.88	5.76	5.4	0	0	0	0	0	0	0	56.7	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
109330501	思敏护胸	代表带一位女子的思念	1	80	12	10	7	0	3	1	4	9	3	3	5	110	75.6	3.84	7.68	7.2	0	0	0	0	0	0	0	75.6	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
109330601	俊义护胸	代表义气的象征，充满豪气	1	100	12	10	7	0	3	1	4	9	3	3	6	110	94.5	4.8	9.6	9	0	0	0	0	0	0	0	94.5	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
109330701	金桃护胸	天空掉落仙桃，幻化成金	1	120	12	10	7	0	3	1	4	9	3	3	7	110	113.4	5.76	11.52	10.8	0	0	0	0	0	0	0	113.4	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
109330801	通灵护胸	通往灵界的桥梁，拥有阴深的力量	1	140	12	10	7	0	3	1	4	9	3	3	8	110	132.3	6.72	13.44	12.6	0	0	0	0	0	0	0	132.3	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
109330901	郁心护胸	无忧原始，无根行客，无尽离愁	1	160	12	10	7	0	3	1	4	9	3	3	9	110	151.2	7.68	15.36	14.4	0	0	0	0	0	0	0	151.2	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
109331001	啸天护胸	淮上一杯酒，能醉天涯万里人	1	180	12	10	7	0	3	1	4	9	3	3	10	110	170.1	8.64	17.28	16.2	0	0	0	0	0	0	0	170.1	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
109331101	冰神护胸	冰中女神，有着几乎逆天的威力	1	200	12	10	7	0	3	1	4	9	3	3	11	110	189	9.6	19.2	18	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
109140101	丝网护胸	普通丝网护胸，穿起来很凉爽	1	10	12	10	6	0	3	1	4	9	1	4	1	110	5.25	0.48	0.24	0.36	0	0	0	0	0	0	0	5.25	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
109140201	丝绸护胸	上等丝绸制作，穿起来很舒服	1	20	12	10	6	0	3	1	4	9	1	4	2	110	10.5	0.96	0.48	0.72	0	0	0	0	0	0	0	10.5	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
109140301	嘉文护胸	故人把酒杯未休，乡书遥寄离人愁	1	40	12	10	6	0	3	1	4	9	1	4	3	110	21	1.92	0.96	1.44	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
109140401	气旋护胸	归雁离群无意绪	1	60	12	10	6	0	3	1	4	9	1	4	4	110	31.5	2.88	1.44	2.16	0	0	0	0	0	0	0	31.5	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
109140501	思敏护胸	代表带一位女子的思念	1	80	12	10	6	0	3	1	4	9	1	4	5	110	42	3.84	1.92	2.88	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
109140601	俊义护胸	代表义气的象征，充满豪气	1	100	12	10	6	0	3	1	4	9	1	4	6	110	52.5	4.8	2.4	3.6	0	0	0	0	0	0	0	52.5	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
109140701	金桃护胸	天空掉落仙桃，幻化成金	1	120	12	10	6	0	3	1	4	9	1	4	7	110	63	5.76	2.88	4.32	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
109140801	通灵护胸	通往灵界的桥梁，拥有阴深的力量	1	140	12	10	6	0	3	1	4	9	1	4	8	110	73.5	6.72	3.36	5.04	0	0	0	0	0	0	0	73.5	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
109140901	郁心护胸	无忧原始，无根行客，无尽离愁	1	160	12	10	6	0	3	1	4	9	1	4	9	110	84	7.68	3.84	5.76	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
109141001	啸天护胸	淮上一杯酒，能醉天涯万里人	1	180	12	10	6	0	3	1	4	9	1	4	10	110	94.5	8.64	4.32	6.48	0	0	0	0	0	0	0	94.5	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
109141101	冰神护胸	冰中女神，有着几乎逆天的威力	1	200	12	10	6	0	3	1	4	9	1	4	11	110	105	9.6	4.8	7.2	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
109240101	丝网护胸	普通丝网护胸，穿起来很凉爽	1	10	12	10	6	0	3	1	4	9	2	4	1	110	7.35	0.48	0.78	0.36	0	0	0	0	0	0	0	7.35	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
109240201	丝绸护胸	上等丝绸制作，穿起来很舒服	1	20	12	10	6	0	3	1	4	9	2	4	2	110	14.7	0.96	1.56	0.72	0	0	0	0	0	0	0	14.7	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
109240301	嘉文护胸	故人把酒杯未休，乡书遥寄离人愁	1	40	12	10	6	0	3	1	4	9	2	4	3	110	29.4	1.92	3.12	1.44	0	0	0	0	0	0	0	29.4	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
109240401	气旋护胸	归雁离群无意绪	1	60	12	10	6	0	3	1	4	9	2	4	4	110	44.1	2.88	4.68	2.16	0	0	0	0	0	0	0	44.1	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
109240501	思敏护胸	代表带一位女子的思念	1	80	12	10	6	0	3	1	4	9	2	4	5	110	58.8	3.84	6.24	2.88	0	0	0	0	0	0	0	58.8	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
109240601	俊义护胸	代表义气的象征，充满豪气	1	100	12	10	6	0	3	1	4	9	2	4	6	110	73.5	4.8	7.8	3.6	0	0	0	0	0	0	0	73.5	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
109240701	金桃护胸	天空掉落仙桃，幻化成金	1	120	12	10	6	0	3	1	4	9	2	4	7	110	88.2	5.76	9.36	4.32	0	0	0	0	0	0	0	88.2	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
109240801	通灵护胸	通往灵界的桥梁，拥有阴深的力量	1	140	12	10	6	0	3	1	4	9	2	4	8	110	102.9	6.72	10.92	5.04	0	0	0	0	0	0	0	102.9	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
109240901	郁心护胸	无忧原始，无根行客，无尽离愁	1	160	12	10	6	0	3	1	4	9	2	4	9	110	117.6	7.68	12.48	5.76	0	0	0	0	0	0	0	117.6	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
109241001	啸天护胸	淮上一杯酒，能醉天涯万里人	1	180	12	10	6	0	3	1	4	9	2	4	10	110	132.3	8.64	14.04	6.48	0	0	0	0	0	0	0	132.3	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
109241101	冰神护胸	冰中女神，有着几乎逆天的威力	1	200	12	10	6	0	3	1	4	9	2	4	11	110	147	9.6	15.6	7.2	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
109340101	丝网护胸	普通丝网护胸，穿起来很凉爽	1	10	12	10	6	0	3	1	4	9	3	4	1	110	10.5	0.48	0.96	0.36	0	0	0	0	0	0	0	10.5	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
109340201	丝绸护胸	上等丝绸制作，穿起来很舒服	1	20	12	10	6	0	3	1	4	9	3	4	2	110	21	0.96	1.92	0.72	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
109340301	嘉文护胸	故人把酒杯未休，乡书遥寄离人愁	1	40	12	10	6	0	3	1	4	9	3	4	3	110	42	1.92	3.84	1.44	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
109340401	气旋护胸	归雁离群无意绪	1	60	12	10	6	0	3	1	4	9	3	4	4	110	63	2.88	5.76	2.16	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
109340501	思敏护胸	代表带一位女子的思念	1	80	12	10	6	0	3	1	4	9	3	4	5	110	84	3.84	7.68	2.88	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
109340601	俊义护胸	代表义气的象征，充满豪气	1	100	12	10	6	0	3	1	4	9	3	4	6	110	105	4.8	9.6	3.6	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
109340701	金桃护胸	天空掉落仙桃，幻化成金	1	120	12	10	6	0	3	1	4	9	3	4	7	110	126	5.76	11.52	4.32	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
109340801	通灵护胸	通往灵界的桥梁，拥有阴深的力量	1	140	12	10	6	0	3	1	4	9	3	4	8	110	147	6.72	13.44	5.04	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
109340901	郁心护胸	无忧原始，无根行客，无尽离愁	1	160	12	10	6	0	3	1	4	9	3	4	9	110	168	7.68	15.36	5.76	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
109341001	啸天护胸	淮上一杯酒，能醉天涯万里人	1	180	12	10	6	0	3	1	4	9	3	4	10	110	189	8.64	17.28	6.48	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
109341101	冰神护胸	冰中女神，有着几乎逆天的威力	1	200	12	10	6	0	3	1	4	9	3	4	11	110	210	9.6	19.2	7.2	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
109150101	丝网护胸	普通丝网护胸，穿起来很凉爽	1	10	12	10	5	0	3	1	4	9	1	5	1	110	5.775	0.48	0.24	0.9	0	0	0	0	0	0	0	5.775	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
109150201	丝绸护胸	上等丝绸制作，穿起来很舒服	1	20	12	10	5	0	3	1	4	9	1	5	2	110	11.55	0.96	0.48	1.8	0	0	0	0	0	0	0	11.55	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
109150301	嘉文护胸	故人把酒杯未休，乡书遥寄离人愁	1	40	12	10	5	0	3	1	4	9	1	5	3	110	23.1	1.92	0.96	3.6	0	0	0	0	0	0	0	23.1	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
109150401	气旋护胸	归雁离群无意绪	1	60	12	10	5	0	3	1	4	9	1	5	4	110	34.65	2.88	1.44	5.4	0	0	0	0	0	0	0	34.65	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
109150501	思敏护胸	代表带一位女子的思念	1	80	12	10	5	0	3	1	4	9	1	5	5	110	46.2	3.84	1.92	7.2	0	0	0	0	0	0	0	46.2	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
109150601	俊义护胸	代表义气的象征，充满豪气	1	100	12	10	5	0	3	1	4	9	1	5	6	110	57.75	4.8	2.4	9	0	0	0	0	0	0	0	57.75	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
109150701	金桃护胸	天空掉落仙桃，幻化成金	1	120	12	10	5	0	3	1	4	9	1	5	7	110	69.3	5.76	2.88	10.8	0	0	0	0	0	0	0	69.3	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
109150801	通灵护胸	通往灵界的桥梁，拥有阴深的力量	1	140	12	10	5	0	3	1	4	9	1	5	8	110	80.85	6.72	3.36	12.6	0	0	0	0	0	0	0	80.85	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
109150901	郁心护胸	无忧原始，无根行客，无尽离愁	1	160	12	10	5	0	3	1	4	9	1	5	9	110	92.4	7.68	3.84	14.4	0	0	0	0	0	0	0	92.4	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
109151001	啸天护胸	淮上一杯酒，能醉天涯万里人	1	180	12	10	5	0	3	1	4	9	1	5	10	110	103.95	8.64	4.32	16.2	0	0	0	0	0	0	0	103.95	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
109151101	冰神护胸	冰中女神，有着几乎逆天的威力	1	200	12	10	5	0	3	1	4	9	1	5	11	110	115.5	9.6	4.8	18	0	0	0	0	0	0	0	115.5	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
109250101	丝网护胸	普通丝网护胸，穿起来很凉爽	1	10	12	10	5	0	3	1	4	9	2	5	1	110	8.085	0.48	0.78	0.9	0	0	0	0	0	0	0	8.085	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
109250201	丝绸护胸	上等丝绸制作，穿起来很舒服	1	20	12	10	5	0	3	1	4	9	2	5	2	110	16.17	0.96	1.56	1.8	0	0	0	0	0	0	0	16.17	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
109250301	嘉文护胸	故人把酒杯未休，乡书遥寄离人愁	1	40	12	10	5	0	3	1	4	9	2	5	3	110	32.34	1.92	3.12	3.6	0	0	0	0	0	0	0	32.34	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
109250401	气旋护胸	归雁离群无意绪	1	60	12	10	5	0	3	1	4	9	2	5	4	110	48.51	2.88	4.68	5.4	0	0	0	0	0	0	0	48.51	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
109250501	思敏护胸	代表带一位女子的思念	1	80	12	10	5	0	3	1	4	9	2	5	5	110	64.68	3.84	6.24	7.2	0	0	0	0	0	0	0	64.68	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
109250601	俊义护胸	代表义气的象征，充满豪气	1	100	12	10	5	0	3	1	4	9	2	5	6	110	80.85	4.8	7.8	9	0	0	0	0	0	0	0	80.85	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
109250701	金桃护胸	天空掉落仙桃，幻化成金	1	120	12	10	5	0	3	1	4	9	2	5	7	110	97.02	5.76	9.36	10.8	0	0	0	0	0	0	0	97.02	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
109250801	通灵护胸	通往灵界的桥梁，拥有阴深的力量	1	140	12	10	5	0	3	1	4	9	2	5	8	110	113.19	6.72	10.92	12.6	0	0	0	0	0	0	0	113.19	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
109250901	郁心护胸	无忧原始，无根行客，无尽离愁	1	160	12	10	5	0	3	1	4	9	2	5	9	110	129.36	7.68	12.48	14.4	0	0	0	0	0	0	0	129.36	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
109251001	啸天护胸	淮上一杯酒，能醉天涯万里人	1	180	12	10	5	0	3	1	4	9	2	5	10	110	145.53	8.64	14.04	16.2	0	0	0	0	0	0	0	145.53	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
109251101	冰神护胸	冰中女神，有着几乎逆天的威力	1	200	12	10	5	0	3	1	4	9	2	5	11	110	161.7	9.6	15.6	18	0	0	0	0	0	0	0	161.7	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
109350101	丝网护胸	普通丝网护胸，穿起来很凉爽	1	10	12	10	5	0	3	1	4	9	3	5	1	110	11.55	0.48	0.96	0.9	0	0	0	0	0	0	0	11.55	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
109350201	丝绸护胸	上等丝绸制作，穿起来很舒服	1	20	12	10	5	0	3	1	4	9	3	5	2	110	23.1	0.96	1.92	1.8	0	0	0	0	0	0	0	23.1	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
109350301	嘉文护胸	故人把酒杯未休，乡书遥寄离人愁	1	40	12	10	5	0	3	1	4	9	3	5	3	110	46.2	1.92	3.84	3.6	0	0	0	0	0	0	0	46.2	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
109350401	气旋护胸	归雁离群无意绪	1	60	12	10	5	0	3	1	4	9	3	5	4	110	69.3	2.88	5.76	5.4	0	0	0	0	0	0	0	69.3	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
109350501	思敏护胸	代表带一位女子的思念	1	80	12	10	5	0	3	1	4	9	3	5	5	110	92.4	3.84	7.68	7.2	0	0	0	0	0	0	0	92.4	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
109350601	俊义护胸	代表义气的象征，充满豪气	1	100	12	10	5	0	3	1	4	9	3	5	6	110	115.5	4.8	9.6	9	0	0	0	0	0	0	0	115.5	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
109350701	金桃护胸	天空掉落仙桃，幻化成金	1	120	12	10	5	0	3	1	4	9	3	5	7	110	138.6	5.76	11.52	10.8	0	0	0	0	0	0	0	138.6	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
109350801	通灵护胸	通往灵界的桥梁，拥有阴深的力量	1	140	12	10	5	0	3	1	4	9	3	5	8	110	161.7	6.72	13.44	12.6	0	0	0	0	0	0	0	161.7	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
109350901	郁心护胸	无忧原始，无根行客，无尽离愁	1	160	12	10	5	0	3	1	4	9	3	5	9	110	184.8	7.68	15.36	14.4	0	0	0	0	0	0	0	184.8	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
109351001	啸天护胸	淮上一杯酒，能醉天涯万里人	1	180	12	10	5	0	3	1	4	9	3	5	10	110	207.9	8.64	17.28	16.2	0	0	0	0	0	0	0	207.9	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
109351101	冰神护胸	冰中女神，有着几乎逆天的威力	1	200	12	10	5	0	3	1	4	9	3	5	11	110	231	9.6	19.2	18	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
100110102	清风琴	微风中弹唱，清爽之极	1	10	12	10	9	0	3	1	8	0	1	1	1	107	17.0625	0	0	0	0	0	0	0	17.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0
100110202	悲喜琴	操纵人的情操，可善可恶	1	20	12	10	9	0	3	1	8	0	1	1	2	107	34.125	0	0	0	0	0	0	0	34.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0
100110302	八卦琴	阵法中核心的古琴，配合起来威力无比	1	40	12	10	9	0	3	1	8	0	1	1	3	107	68.25	0	0	0	0	0	0	0	68.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0
100110402	六合琴	无形之声，势不可挡	1	60	12	10	9	0	3	1	8	0	1	1	4	107	102.375	0	0	0	0	0	0	0	102.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0
100110502	乱神琴	琴声一出，神魔全将操控	1	80	12	10	9	0	3	1	8	0	1	1	5	107	136.5	0	0	0	0	0	0	0	136.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0
100110602	破魔琴	没有破不掉的魔咒	1	100	12	10	9	0	3	1	8	0	1	1	6	107	170.625	0	0	0	0	0	0	0	170.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0
100110702	星耀琴	传说是从星辰中孕育而成	1	120	12	10	9	0	3	1	8	0	1	1	7	107	204.75	0	0	0	0	0	0	0	204.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0
100110802	天阳琴	太阳中炼化而成的神琴	1	140	12	10	9	0	3	1	8	0	1	1	8	107	238.875	0	0	0	0	0	0	0	238.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0
100110902	风冥琴	冥界至尊宝琴，威力无比	1	160	12	10	9	0	3	1	8	0	1	1	9	107	273	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0
100111002	灭世琴	此琴的声音能够毁灭万物	1	180	12	10	9	0	3	1	8	0	1	1	10	107	307.125	0	0	0	0	0	0	0	307.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0
100111102	生死神琴	一切生死，都在此琴中操控	1	200	12	10	9	0	3	1	8	0	1	1	11	107	341.25	0	0	0	0	0	0	0	341.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0
100210102	清风琴	微风中弹唱，清爽之极	1	10	12	10	9	0	3	1	8	0	2	1	1	107	23.8875	0	0	0	0	0	0	0	23.8875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0
100210202	悲喜琴	操纵人的情操，可善可恶	1	20	12	10	9	0	3	1	8	0	2	1	2	107	47.775	0	0	0	0	0	0	0	47.775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0
100210302	八卦琴	阵法中核心的古琴，配合起来威力无比	1	40	12	10	9	0	3	1	8	0	2	1	3	107	95.55	0	0	0	0	0	0	0	95.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0
100210402	六合琴	无形之声，势不可挡	1	60	12	10	9	0	3	1	8	0	2	1	4	107	143.325	0	0	0	0	0	0	0	143.325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0
100210502	乱神琴	琴声一出，神魔全将操控	1	80	12	10	9	0	3	1	8	0	2	1	5	107	191.1	0	0	0	0	0	0	0	191.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0
100210602	破魔琴	没有破不掉的魔咒	1	100	12	10	9	0	3	1	8	0	2	1	6	107	238.875	0	0	0	0	0	0	0	238.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0
100210702	星耀琴	传说是从星辰中孕育而成	1	120	12	10	9	0	3	1	8	0	2	1	7	107	286.65	0	0	0	0	0	0	0	286.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0
100210802	天阳琴	太阳中炼化而成的神琴	1	140	12	10	9	0	3	1	8	0	2	1	8	107	334.425	0	0	0	0	0	0	0	334.425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0
100210902	风冥琴	冥界至尊宝琴，威力无比	1	160	12	10	9	0	3	1	8	0	2	1	9	107	382.2	0	0	0	0	0	0	0	382.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0
100211002	灭世琴	此琴的声音能够毁灭万物	1	180	12	10	9	0	3	1	8	0	2	1	10	107	429.975	0	0	0	0	0	0	0	429.975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0
100211102	生死神琴	一切生死，都在此琴中操控	1	200	12	10	9	0	3	1	8	0	2	1	11	107	477.75	0	0	0	0	0	0	0	477.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0
100310102	清风琴	微风中弹唱，清爽之极	1	10	12	10	9	0	3	1	8	0	3	1	1	107	34.125	0	0	0	0	0	0	0	34.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0
