服务器输出文件名	config_shop_item.xml	根名称	ability											
3004	36	2	331050004	1	11	1	4294967295	255	0	[eeb508]璀璨流血宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率引发流血		
3004	37	2	331060001	1	11	1	4294967295	255	0	[00ff00]混乱宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率引发混乱		
3004	38	2	331060002	1	11	1	4294967295	255	0	[0099ff]无暇混乱宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率引发混乱		
3004	39	2	331060003	1	11	1	4294967295	255	0	[ce5dd4]完美混乱宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率引发混乱		
3004	40	2	331060004	1	11	1	4294967295	255	0	[eeb508]璀璨混乱宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率引发混乱		
3004	41	2	331070001	1	11	1	4294967295	255	0	[00ff00]迷雾宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率使对方触发迷雾		
3004	42	2	331070002	1	11	1	4294967295	255	0	[0099ff]无暇迷雾宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率使对方触发迷雾		
3004	43	2	331070003	1	11	1	4294967295	255	0	[ce5dd4]完美迷雾宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率使对方触发迷雾		
3004	44	2	331070004	1	11	1	4294967295	255	0	[eeb508]璀璨迷雾宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率使对方触发迷雾		
3004	45	2	331080001	1	11	1	4294967295	255	0	[00ff00]抗沉默宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的沉默效果		
3004	46	2	331080002	1	11	1	4294967295	255	0	[0099ff]无暇抗沉默宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的沉默效果		
3004	47	2	331080003	1	11	1	4294967295	255	0	[ce5dd4]完美抗沉默宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的沉默效果		
3004	48	2	331080004	1	11	1	4294967295	255	0	[eeb508]璀璨抗沉默宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的沉默效果		
3004	49	2	331090001	1	11	1	4294967295	255	0	[00ff00]抗缓慢宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的缓慢效果		
3004	50	2	331090002	1	11	1	4294967295	255	0	[0099ff]无暇抗缓慢宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的缓慢效果		
3004	51	2	331090003	1	11	1	4294967295	255	0	[ce5dd4]完美抗缓慢宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的缓慢效果		
3004	52	2	331090004	1	11	1	4294967295	255	0	[eeb508]璀璨抗缓慢宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的缓慢效果		
3004	53	2	331100001	1	11	1	4294967295	255	0	[00ff00]抗流血宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的流血效果		
3004	54	2	331100002	1	11	1	4294967295	255	0	[0099ff]无暇抗流血宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的流血效果		
3004	55	2	331100003	1	11	1	4294967295	255	0	[ce5dd4]完美抗流血宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的流血效果		
3004	56	2	331100004	1	11	1	4294967295	255	0	[eeb508]璀璨抗流血宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的流血效果		
3004	57	2	331110001	1	11	1	4294967295	255	0	[00ff00]抗混乱宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的混乱效果		
3004	58	2	331110002	1	11	1	4294967295	255	0	[0099ff]无暇抗混乱宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的混乱效果		
3004	59	2	331110003	1	11	1	4294967295	255	0	[ce5dd4]完美抗混乱宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的混乱效果		
3004	60	2	331110004	1	11	1	4294967295	255	0	[eeb508]璀璨抗混乱宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的混乱效果		
3004	61	2	331120001	1	11	1	4294967295	255	0	[00ff00]抗迷雾宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的迷雾效果		
3004	62	2	331120002	1	11	1	4294967295	255	0	[0099ff]无暇抗迷雾宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的迷雾效果		
3004	63	2	331120003	1	11	1	4294967295	255	0	[ce5dd4]完美抗迷雾宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的迷雾效果		
3004	64	2	331120004	1	11	1	4294967295	255	0	[eeb508]璀璨抗迷雾宝石	[f4e4c6][f0b427]1[-]元宝	有概率抵消对手的迷雾效果		
3004	65	2	222000001	1	11	1	4294967295	255	0	[ce5dd4]飞剑乱舞[-]	[f4e4c6][f0b427]5[-]元宝	用招式攻击敌人并将范围敌人挑至浮空。		
3004	66	2	222000002	1	11	1	4294967295	255	0	[ce5dd4]灵之剑[-]	[f4e4c6][f0b427]5[-]元宝	用剑气刺向前方照成伤害将目标击退		
3004	67	2	222000003	1	11	1	4294967295	255	0	[ce5dd4]飓风剑[-]	[f4e4c6][f0b427]5[-]元宝	剑气攻击前方照成伤害使敌方眩晕		
3004	68	2	222000004	1	11	1	4294967295	255	0	[ce5dd4]BUFF动作[-]	[f4e4c6][f0b427]5[-]元宝	增加自身暴击率		
3004	69	2	222000005	1	11	1	4294967295	255	0	[ce5dd4]玉女御剑[-]	[f4e4c6][f0b427]5[-]元宝	空中对敌人进行打击照成伤害		
3004	70	2	222000006	1	11	1	4294967295	255	0	[ce5dd4]玉女散花[-]	[f4e4c6][f0b427]5[-]元宝	挥出武器照成伤害使目标处于浮空状态		
3004	71	2	222000007	1	11	1	4294967295	255	0	[ce5dd4]脉冲剑[-]	[f4e4c6][f0b427]5[-]元宝	蓄力挥出重棍照成伤害把敌方目标击退		
3004	72	2	222000008	1	11	1	4294967295	255	0	[ce5dd4]伤之舞[-]	[f4e4c6][f0b427]5[-]元宝	打出拳法照成伤害再次挥拳把敌方击晕		
3004	73	2	222000009	1	11	1	4294967295	255	0	[ce5dd4]玉女剑法[-]	[f4e4c6][f0b427]5[-]元宝	增加自身暴击率		
3004	74	2	222000010	1	11	1	4294967295	255	0	[ce5dd4]黯然销魂掌[-]	[f4e4c6][f0b427]5[-]元宝	跃起对凌空目标进行光环攻击		
3004	75	2	222000011	1	11	1	4294967295	255	0	[ce5dd4]跃身技[-]	[f4e4c6][f0b427]5[-]元宝	对着敌人踢出数腿后一腿把敌人挑飞		
3004	76	2	222000012	1	11	1	4294967295	255	0	[ce5dd4]正龙棍[-]	[f4e4c6][f0b427]5[-]元宝	弹出强大琴音照成伤害巨大声波击退敌人		
3004	77	2	222000013	1	11	1	4294967295	255	0	[ce5dd4]卧龙破[-]	[f4e4c6][f0b427]5[-]元宝	琴音对范围敌人照成伤害使敌人眩晕		
3004	78	2	222000014	1	11	1	4294967295	255	0	[ce5dd4]罗汉拳[-]	[f4e4c6][f0b427]5[-]元宝	增加自身暴击率		
3004	79	2	222000015	1	11	1	4294967295	255	0	[ce5dd4]BUFF动作[-]	[f4e4c6][f0b427]5[-]元宝	跃起用琴音攻击凌空目标		
3004	80	2	222000016	1	11	1	4294967295	255	0	[ce5dd4]幻佛聚灵[-]	[f4e4c6][f0b427]5[-]元宝	持续用风暴攻击使目标浮空		
3004	81	2	222000017	1	11	1	4294967295	255	0	[ce5dd4]千斤坠[-]	[f4e4c6][f0b427]5[-]元宝	转身挥出重拳击退敌人		
3004	82	2	222000018	1	11	1	4294967295	255	0	[ce5dd4]谁敢挡我[-]	[f4e4c6][f0b427]5[-]元宝	重击敌人照成伤害击晕敌人		
3004	83	2	222000019	1	11	1	4294967295	255	0	[ce5dd4]伏虎[-]	[f4e4c6][f0b427]5[-]元宝	增加自身暴击率		
3004	84	2	222000020	1	11	1	4294967295	255	0	[ce5dd4]旋风[-]	[f4e4c6][f0b427]5[-]元宝	拉住敌人对其照成伤害		
3004	85	2	222000021	1	11	1	4294967295	255	0	[ce5dd4]棍扫天下[-]	[f4e4c6][f0b427]10[-]元宝	（被动）即时增加生命		
3004	86	2	222000022	1	11	1	4294967295	255	0	[ce5dd4]旋腿起身[-]	[f4e4c6][f0b427]10[-]元宝	（被动）即时增加武攻		
3004	87	2	222000023	1	11	1	4294967295	255	0	[ce5dd4]连环腿[-]	[f4e4c6][f0b427]10[-]元宝	（被动）即时增加武防		
3004	88	2	222000024	1	11	1	4294967295	255	0	[ce5dd4]凌空琴[-]	[f4e4c6][f0b427]10[-]元宝	增加自身暴击率		
3004	89	2	222000025	1	11	1	4294967295	255	0	[ce5dd4]乱音[-]	[f4e4c6][f0b427]10[-]元宝	拉住敌人对其照成伤害		
3004	90	2	222000026	1	11	1	4294967295	255	0	[ce5dd4]BUFF动作[-]	[f4e4c6][f0b427]10[-]元宝	（被动）即时增加生命		
3004	91	2	222000027	1	11	1	4294967295	255	0	[ce5dd4]幻魔琴-绝命[-]	[f4e4c6][f0b427]10[-]元宝	（被动）即时增加武攻		
3004	92	2	222000028	1	11	1	4294967295	255	0	[ce5dd4]幻魔琴-伤[-]	[f4e4c6][f0b427]10[-]元宝	（被动）即时增加武防		
3004	93	2	222000029	1	11	1	4294967295	255	0	[ce5dd4]回旋琴[-]	[f4e4c6][f0b427]10[-]元宝	增加自身暴击率		
3004	94	2	222000030	1	11	1	4294967295	255	0	[ce5dd4]天音之力[-]	[f4e4c6][f0b427]10[-]元宝	拉住敌人对其照成伤害		
3004	95	2	222000031	1	11	1	4294967295	255	0	[ce5dd4]幻魔琴-真理[-]	[f4e4c6][f0b427]10[-]元宝	（被动）即时增加生命		
3004	96	2	222000032	1	11	1	4294967295	255	0	[ce5dd4]续命天音[-]	[f4e4c6][f0b427]10[-]元宝	（被动）即时增加武攻		
3004	97	2	222000033	1	11	1	4294967295	255	0	[ce5dd4]回旋腿[-]	[f4e4c6][f0b427]1[-]元宝	[410303]对敌人进行伤害并击倒在地[-]		
3004	98	2	222000034	1	11	1	4294967295	255	0	[ce5dd4]杀戮风暴[-]	[f4e4c6][f0b427]1[-]元宝	[410303]前冲攻击敌人照成伤害[-]		
3004	99	2	222000035	1	11	1	4294967295	255	0	[ce5dd4]强力鬼[-]	[f4e4c6][f0b427]1[-]元宝	[410303]对敌人连续攻击照成伤害击退敌方[-]		
3004	100	2	222000036	1	11	1	4294967295	255	0	[ce5dd4]眩之拳[-]	[f4e4c6][f0b427]1[-]元宝	[410303]对范围敌人照成巨大伤害[-]		
3004	101	2	222000037	1	11	1	4294967295	255	0	[ce5dd4]BUFF动作[-]	[f4e4c6][f0b427]1[-]元宝	[410303]以绝妙掌法攻击敌人照成伤害[-]		
3004	102	2	222000038	1	11	1	4294967295	255	0	[ce5dd4]影之舞[-]	[f4e4c6][f0b427]1[-]元宝	[410303]倒地后，原地踢腿翻身起立[-]		
3004	103	2	222000039	1	11	1	4294967295	255	0	[ce5dd4]影灵连刺[-]	[f4e4c6][f0b427]1[-]元宝	[410303]跃身向下重击照成伤害给敌方击倒[-]		
3004	104	2	222000040	1	11	1	4294967295	255	0	[ce5dd5]冲撞技能[-]	[f4e4c6][f0b427]1[-]元宝	[410303]冲出一段距离并照成伤害[-]		
3004	105	2	222000041	1	11	1	4294967295	255	0	[ce5dd6]少鬼拳[-]	[f4e4c6][f0b427]1[-]元宝	[410303]以精妙棍法对敌人发动连击照成伤害击飞敌方[-]		
3004	106	2	222000042	1	11	1	4294967295	255	0	[ce5dd7]暗升龙鬼拳[-]	[f4e4c6][f0b427]1[-]元宝	[410303]威力无比的旋风棍对范围敌人照成伤害[-]		
3004	107	2	222000043	1	11	1	4294967295	255	0	[ce5dd8]魅灵鬼[-]	[f4e4c6][f0b427]1[-]元宝	[410303]旋转武器并挥出打击对手[-]		
3004	108	2	222000044	1	11	1	4294967295	255	0	[ce5dd9]旋身技[-]	[f4e4c6][f0b427]1[-]元宝	[410303]倒地后旋转飞起站立[-]		
3004	109	2	222000045	1	11	1	4294967295	255	0	[ce5dd9]古墓-生命[-]	[f4e4c6][f0b427]1[-]元宝	[410303]利用琴音拉近敌人照成伤害击倒敌人[-]		
3004	110	2	222000046	1	11	1	4294967295	255	0	[ce5dd9]古墓-武攻[-]	[f4e4c6][f0b427]1[-]元宝	[410303]冲击对敌人照成伤害[-]		
3004	111	2	222000047	1	11	1	4294967295	255	0	[ce5dd9]古墓-武防[-]	[f4e4c6][f0b427]1[-]元宝	[410303]挑飞敌人进摔落进行打击照成伤害击退对方[-]		
3004	112	2	222000048	1	11	1	4294967295	255	0	[ce5dd9]古墓-内攻[-]	[f4e4c6][f0b427]1[-]元宝	[410303]对前方进行范围琴音伤害[-]		
3004	113	2	222000049	1	11	1	4294967295	255	0	[ce5dd9]古墓-内防[-]	[f4e4c6][f0b427]1[-]元宝	[410303]琴音追踪目标照成伤害回旋回来回复自身生命[-]		
3004	114	2	222000050	1	11	1	4294967295	255	0	[ce5dd9]少林-生命[-]	[f4e4c6][f0b427]1[-]元宝	[410303]倒地后原地翻身起立[-]		
3004	115	2	222000051	1	11	1	4294967295	255	0	[ce5dd9]少林-武攻[-]	[f4e4c6][f0b427]1[-]元宝	[410303]对范围内多个敌人进行来回冲击击倒敌人[-]		
3004	116	2	222000052	1	11	1	4294967295	255	0	[ce5dd9]少林-武防[-]	[f4e4c6][f0b427]1[-]元宝	[410303]向前重装照成伤害[-]		
3004	117	2	222000053	1	11	1	4294967295	255	0	[ce5dd9]少林-内攻[-]	[f4e4c6][f0b427]1[-]元宝	[410303]对目标打出九路鬼拳照成伤害击退敌方[-]		
3004	118	2	222000054	1	11	1	4294967295	255	0	[ce5dd9]少林-内防[-]	[f4e4c6][f0b427]1[-]元宝	[410303]打出黑气对范围敌人伤害[-]		
3004	119	2	222000055	1	11	1	4294967295	255	0	[ce5dd9]逍遥-生命[-]	[f4e4c6][f0b427]1[-]元宝	[410303]对敌方进行连续攻击使对方浮空[-]		
3004	120	2	222000056	1	11	1	4294967295	255	0	[ce5dd9]逍遥-武攻[-]	[f4e4c6][f0b427]1[-]元宝	[410303]倒地翻滚起身[-]		
3004	121	2	222000057	1	11	1	4294967295	255	0	[ce5dd9]逍遥-武防[-]	[f4e4c6][f0b427]1[-]元宝	[410303]（被动）即时增加内攻[-]		
3004	122	2	222000058	1	11	1	4294967295	255	0	[ce5dd9]逍遥-内攻[-]	[f4e4c6][f0b427]1[-]元宝	[410303]（被动）即时增加内防[-]		
3004	123	2	222000059	1	11	1	4294967295	255	0	[ce5dd9]逍遥-内防[-]	[f4e4c6][f0b427]1[-]元宝	[410303]（被动）即时增加内攻[-]		
3004	124	2	222000060	1	11	1	4294967295	255	0	[ce5dd9]魔教-生命[-]	[f4e4c6][f0b427]1[-]元宝	[410303]（被动）即时增加内防[-]		
3004	125	2	222000061	1	11	1	4294967295	255	0	[ce5dd9]魔教-武攻[-]	[f4e4c6][f0b427]1[-]元宝	[410303]（被动）即时增加内攻[-]		
3004	126	2	222000062	1	11	1	4294967295	255	0	[ce5dd9]魔教-武防[-]	[f4e4c6][f0b427]1[-]元宝	[410303]（被动）即时增加内防[-]		
3004	127	2	222000063	1	11	1	4294967295	255	0	[ce5dd9]魔教-内攻[-]	[f4e4c6][f0b427]1[-]元宝	[410303]（被动）即时增加内攻[-]		
3004	128	2	222000064	1	11	1	4294967295	255	0	[ce5dd9]魔教-内防[-]	[f4e4c6][f0b427]1[-]元宝	[410303]（被动）即时增加内防[-]		
														
														
														
														
														
